difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
6	224.8551	0.8311	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.55,0.95,0.94,0.93,0.94,0.92	[224.85512149444423, 6]	5
1	560.2792	0.9285	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.86,0.99,0.98,0.98,0.97,0.97	[560.2792319171455, 1]	5
4	2.3174	0.0	60	0	2	29	inf	1,1,1,1,0,0	0,1,2,4,7,15	0.66,0.97,0.96,0.95,0.95,0.34	[2.317440605675938, 8]	7
3	322.9718	0.8792	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.72,0.97,0.97,0.96,0.96,0.94	[322.9718442789549, 3]	5
7	124.9216	0.7168	60	2	1	29	inf	0,1,1,0,1,1	0,1,2,4,7,15	0.49,0.57,0.87,0.90,0.39,0.78	[124.92158378616905, 9]	6
7	207.1707	0.8181	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.49,0.95,0.94,0.93,0.93,0.91	[207.17067028994342, 7]	5
9	0.8599	0.0	60	0	4	29	inf	0,1,0,0,0,0	0,1,2,4,7,15	0.39,0.48,0.84,0.39,0.04,0.00	[0.8598629905701939, 17]	9
2	397.155	0.9006	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.78,0.98,0.97,0.97,0.96,0.95	[397.1549964697679, 2]	5
5	1.1315	0.0	60	0	3	29	inf	0,1,1,0,0,0	0,1,2,4,7,15	0.61,0.68,0.89,0.92,0.43,0.00	[1.1314644775960774, 11]	8
1	18.234	0.1022	60	0	1	29	inf	1,1,1,1,1,0	0,1,2,4,7,15	0.86,0.99,0.98,0.98,0.97,0.97	[18.23401930173755, 3]	6
3	322.9718	0.8792	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.72,0.97,0.97,0.96,0.96,0.94	[322.9718442789549, 3]	5
5	235.3444	0.838	60	5	0	29	inf	0,1,1,1,1,1	0,1,2,4,7,15	0.61,0.68,0.89,0.92,0.93,0.92	[235.34439489643918, 5]	5
1	560.2792	0.9285	60	5	0	29	inf	1,1,1,1,1,1	0,1,2,4,7,15	0.86,0.99,0.98,0.98,0.97,0.97	[560.2792319171455, 1]	5
