difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
6	337.8904	0.9878	6	4	1	83	90	1,1,1,0,1,1,1,1	0,3,6,16,2,6,13,37	0.55,0.87,0.90,0.88,0.84,0.84,0.87,0.83	[337.8903731041247, 8]	8
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
4	53.7671	0.9872	1	3	4	88	96	1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1	0,3,8,1,3,10,1,3,1,3,4,10,33,1,3,4	0.66,0.91,0.90,0.90,0.88,0.85,0.88,0.86,0.83,0.83,0.91,0.88,0.81,0.91,0.86,0.92	[53.76707066310124, 12]	19
3	101.6862	0.9932	1	3	2	88	117	1,1,0,1,1,0,1,1,1	0,7,28,2,9,29,2,3,8	0.72,0.84,0.83,0.84,0.80,0.82,0.83,0.92,0.89	[101.68618829505388, 7]	10
7	372.6055	0.9816	10	7	2	79	439	0,0,0,1,1,1,1,1,1,1	0,1,1,1,2,5,6,15,38,10	0.49,0.57,0.55,0.54,0.83,0.85,0.92,0.88,0.85,0.98	[372.605505855958, 11]	11
7	367.2851	0.9432	31	4	0	58	418	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
9	147.6305	0.821	42	5	3	47	93	0,1,1,0,1,1,0,1,0,1,1,1,1,1	0,1,1,3,1,2,4,1,2,1,2,4,7,18	0.39,0.48,0.92,0.88,0.84,0.88,0.89,0.86,0.88,0.82,0.86,0.87,0.89,0.84	[147.63045865562407, 15]	16
2	327.7404	0.9916	4	5	2	85	90	1,0,1,1,1,0,1,1,1,1,1	0,6,1,4,6,22,2,5,8,21,10	0.78,0.89,0.89,0.86,0.93,0.88,0.85,0.88,0.92,0.89,0.97	[327.740418484372, 6]	12
5	376.1936	0.9692	17	7	2	72	432	0,0,0,1,1,1,1,1,1,1	0,1,1,1,2,5,11,37,10,4	0.61,0.68,0.62,0.58,0.85,0.86,0.87,0.81,0.98,0.99	[376.19361804718193, 9]	11
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
3	364.5756	0.9024	54	2	0	35	395	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
5	368.7551	0.9276	40	5	0	49	409	0,1,1,1,1,1	0,1,2,5,10,31	0.61,0.68,0.89,0.90,0.91,0.87	[368.7551436009584, 5]	5
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
3	362.6788	0.9317	37	5	1	52	412	0,1,0,1,1,1,1,1	0,1,3,1,3,7,29,8	0.72,0.78,0.88,0.85,0.87,0.89,0.82,0.98	[362.6787898838908, 5]	8
6	69.7916	0.9055	10	3	4	79	92	0,0,0,0,1,1,1,1,1,0,1,1,1	0,1,1,1,1,2,4,7,13,37,2,4,6	0.55,0.62,0.58,0.56,0.54,0.83,0.87,0.89,0.89,0.83,0.85,0.87,0.90	[69.79162218154583, 14]	16
6	126.5565	0.9161	16	3	1	73	112	0,1,1,1,1,0,1,1,1	0,1,2,5,16,31,2,4,12	0.55,0.62,0.88,0.89,0.85,0.89,0.87,0.90,0.86	[126.55648798248936, 8]	9
3	364.5756	0.9024	54	2	0	35	395	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
6	371.2975	0.935	36	4	0	53	413	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
8	302.5131	0.9977	1	7	7	88	101	0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1	0,1,1,1,1,1,1,1,1,1,2,4,7,15,15,36	0.44,0.53,0.52,0.52,0.52,0.51,0.51,0.89,0.78,0.67,0.82,0.85,0.87,0.85,0.92,0.87	[302.5130577880562, 18]	22
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
8	322.2906	0.9097	44	5	2	89	100	1,1,0,1,1,0,1,1,1,1,1	0,2,7,1,3,6,1,3,8,14,44	0.44,0.88,0.83,0.86,0.84,0.88,0.87,0.84,0.83,0.87,0.80	[322.290571790785, 12]	12
7	367.2851	0.9432	31	4	0	58	418	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
3	372.1637	0.9077	52	4	0	37	397	0,1,1,1,1	0,1,3,8,25	0.72,0.78,0.88,0.90,0.88	[372.16371681362233, 3]	4
10	154.6358	0.821	44	5	2	45	92	1,0,1,1,0,1,1,1,1,1	0,2,1,3,7,1,2,5,8,16	0.34,0.84,0.79,0.81,0.84,0.86,0.88,0.85,0.89,0.88	[154.6358403927313, 14]	11
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
8	368.3393	0.9558	24	5	0	65	425	0,1,1,1,1,1	0,1,2,7,14,41	0.44,0.53,0.85,0.82,0.87,0.83	[368.3393006788219, 8]	5
6	361.621	0.9886	6	7	3	83	443	1,0,0,0,1,1,1,1,1,1,1	0,3,1,1,1,2,4,7,13,37,14	0.55,0.87,0.84,0.73,0.65,0.84,0.87,0.89,0.89,0.83,0.97	[361.6209975671926, 12]	13
8	297.8114	0.9816	8	6	4	81	97	0,0,0,0,1,0,1,1,1,1,1,1	0,1,1,1,1,2,1,2,4,9,17,42	0.44,0.53,0.52,0.52,0.52,0.81,0.77,0.85,0.86,0.85,0.86,0.82	[297.81135906591055, 16]	15
7	370.1569	0.9471	29	5	0	60	420	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
6	371.2975	0.935	36	4	0	53	413	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
10	371.5964	0.9688	17	5	0	72	432	1,1,1,1,1,1	0,2,5,9,19,37	0.34,0.84,0.85,0.89,0.88,0.88	[371.5964115666552, 10]	5
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
